ids,patterns
0,who is Om
0,Om
0,Tell me about Om
0,Om
0,About Om
0,Who OM?
0,Om who
0,details
0,Om's detail
1,Skills
1,mastery
1,ability
1,capability
1,prowess
1,what are his skill
1,what skills
1,his ability
1,om's skills
2,Hi
2,How are you
2,Is anyone there?
2,Hello
2,Good day
2,Whats up
2,hey
2,hola
2,hollo
3,cya
3,See you later
3,Goodbye
3,I am Leaving
3,Have a Good day
4,what is your name
4,what should I call you
4,whats your name?
4,you
4,who are you
5,how are you
5,whats up
5,you
6,What do you do here
6,Do you conduct traninig
6,what do you reccommend?
6,what all do you have
6,what service is provided here
7,when are you guys open
7,your hours
7,hours of operation
7,his details
8,
9,How to reach you
9,I am interested
9,I want to do something
9,Your Contact
9,How to contact om
10,Om does
10,His Interest
10,Hobbies
10,What do he do
10,What does Om do
11,Where are you location
11,How to reach you
11,office location
11,where is you office
11,How to reach the office
12,I dont think so
12,naah
12,No
12,Nope
12,Nope
12,n
13,ok
13,hmm
13,okay
13,yes
13,yup
13,ya
13,y
14,Tell me
14,tell
14,me
14,say
14,speak
14,tel me
15,age
15,height
15,what is
15,address
15,kites
15,friends
15,college
15,personal life
15,locality
16,Colabration
16,colaborate
16,partners
16,would Om like
16,like
